JOB ID          REPLACED PAGE   PLACED PAGE     FRAME           STATUS          
4               19              56              77              NR:NM           
5               24              13              82              NR:NM           
20              1               40              97              NR:M            
18              36              1               55              NR:NM           
5               19              55              62              NR:NM           
7               49              68              79              NR:NM           
19              6               9               38              NR:NM           
10              41              45              39              NR:NM           
20              7               9               80              NR:NM           
7               86              52              99              NR:NM           
19              32              12              123             NR:NM           
18              13              94              46              NR:NM           
5               13              26              82              NR:NM           
20              40              42              97              NR:NM           
18              1               14              55              NR:NM           
5               55              24              62              NR:NM           
7               68              2               79              NR:NM           
7               52              64              99              NR:NM           
19              9               16              38              NR:NM           
20              3               1               8               NR:M            
5               26              55              82              NR:NM           
19              12              25              123             NR:NM           
16              12              41              101             NR:NM           
18              38              62              115             NR:NM           
16              13              25              40              NR:NM           
5               24              25              62              NR:NM           
16              14              55              24              NR:NM           
7               2               15              79              NR:NM           
19              16              31              38              NR:NM           
16              21              45              71              NR:NM           
16              22              3               64              NR:NM           
18              14              18              55              NR:NM           
16              25              47              40              NR:NM           
16              3               7               64              NR:NM           
7               87              40              13              NR:NM           
16              29              22              100             NR:NM           
5               55              24              82              NR:NM           
16              7               67              64              NR:NM           
16              22              38              100             NR:NM           
19              25              1               123             NR:NM           
20              9               15              80              NR:M            
18              42              72              116             NR:NM           
5               25              16              62              NR:NM           
7               15              0               79              NR:NM           
19              31              23              38              NR:NM           
18              18              11              55              NR:NM           
5               24              26              82              NR:NM           
16              34              19              67              NR:NM           
18              44              79              109             NR:NM           
16              38              4               100             NR:NM           
18              11              87              55              NR:NM           
19              8               32              118             NR:M            
7               89              22              92              NR:NM           
20              1               41              8               NR:NM           
16              19              27              67              NR:NM           
5               16              19              62              NR:NM           
7               0               42              79              NR:NM           
19              1               5               123             NR:NM           
20              15              17              80              NR:NM           
5               26              45              82              NR:NM           
18              48              43              22              NR:NM           
16              4               5               100             NR:NM           
7               22              81              92              NR:NM           
15              6               30              54              NR:NM           
19              23              6               38              NR:NM           
5               19              52              62              NR:NM           
16              27              54              67              NR:NM           
18              50              31              122             NR:NM           
